title;film_id;type;id_rating;director;cast;country;date_added;release_year;duration;id_listed_in;marks
Vendetta: Truth, Lies and The Mafia;s11;TV Show;2;;;;September 24, 2021;2021;1 Season;11;3
Bangkok Breaking;s12;TV Show;2;Kongkiat Komesiri;Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul;;September 23, 2021;2021;1 Season;3;1
Je Suis Karl;s13;Movie;2;Christian Schwochow;Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová;Germany, Czech Republic;September 23, 2021;2021;127 min;12;2
Confessions of an Invisible Girl;s14;Movie;5;Bruno Garotti;Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo;;September 22, 2021;2021;91 min;13;4
Crime Stories: India Detectives;s15;TV Show;2;;;;September 22, 2021;2021;1 Season;14;2
Dear White People;s16;TV Show;2;;Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito;United States;September 22, 2021;2021;4 Seasons;15;2
Europe's Most Dangerous Man: Otto Skorzeny in Spain;s17;Movie;2;Pedro de Echave García, Pablo Azorín Williams;;;September 22, 2021;2020;67 min;16;2
Falsa identidad;s18;TV Show;2;;Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas;Mexico;September 22, 2021;2020;2 Seasons;17;3
Intrusion;s19;Movie;4;Adam Salky;Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain;;September 22, 2021;2021;94 min;18;3
Jaguar;s20;TV Show;2;;Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski;;September 22, 2021;2021;1 Season;19;2
Monsters Inside: The 24 Faces of Billy Milligan;s21;TV Show;4;Olivier Megaton;;;September 22, 2021;2021;1 Season;11;4
Resurrection: Ertugrul;s22;TV Show;4;;Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı;Turkey;September 22, 2021;2018;5 Seasons;20;3
Avvai Shanmughi;s23;Movie;5;K.S. Ravikumar;Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam;;September 21, 2021;1996;161 min;21;2
Go! Go! Cory Carson: Chrissy Takes the Wheel;s24;Movie;6;Alex Woo, Stanley Moore;Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim;;September 21, 2021;2021;61 min;7;4
Jeans;s25;Movie;4;S. Shankar;Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar;India;September 21, 2021;1998;166 min;22;5
Love on the Spectrum;s26;TV Show;4;;Brooke Satchwell;Australia;September 21, 2021;2021;2 Seasons;23;1
Minsara Kanavu;s27;Movie;5;Rajiv Menon;Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad;;September 21, 2021;1997;147 min;24;4
Grown Ups;s28;Movie;1;Dennis Dugan;Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten;United States;September 20, 2021;2010;103 min;25;4
Dark Skies;s29;Movie;1;Scott Stewart;Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan;United States;September 19, 2021;2013;97 min;26;1
Paranoia;s30;Movie;1;Robert Luketic;Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan;United States, India, France;September 19, 2021;2013;106 min;18;1
Ankahi Kahaniya;s31;Movie;4;Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary;Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh;;September 17, 2021;2021;111 min;8;2
Chicago Party Aunt;s32;TV Show;2;;Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske;;September 17, 2021;2021;1 Season;27;5
Sex Education;s33;TV Show;2;;Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie;United Kingdom;September 17, 2021;2020;3 Seasons;28;2
Squid Game;s34;TV Show;2;;Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi;;September 17, 2021;2021;1 Season;29;1
Tayo and Little Wizards;s35;TV Show;7;;Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim;;September 17, 2021;2020;1 Season;30;3
The Father Who Moves Mountains;s36;Movie;2;Daniel Sandu;Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota;;September 17, 2021;2021;110 min;31;1
The Stronghold;s37;Movie;2;Cédric Jimenez;Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot;;September 17, 2021;2021;105 min;32;4
Angry Birds;s38;TV Show;7;;Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen;Finland;September 16, 2021;2018;1 Season;33;4
Birth of the Dragon;s39;Movie;1;George Nolfi;Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia;China, Canada, United States;September 16, 2021;2017;96 min;34;1
Chhota Bheem;s40;TV Show;7;;Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil;India;September 16, 2021;2021;3 Seasons;30;0
He-Man and the Masters of the Universe;s41;TV Show;7;;Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore;United States;September 16, 2021;2021;1 Season;35;3
Jaws;s42;Movie;3;Steven Spielberg;Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman;United States;September 16, 2021;1975;124 min;36;2
Jaws 2;s43;Movie;3;Jeannot Szwarc;Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French;United States;September 16, 2021;1978;116 min;37;5
Jaws 3;s44;Movie;3;Joe Alves;Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer;United States;September 16, 2021;1983;98 min;38;1
Jaws: The Revenge;s45;Movie;1;Joseph Sargent;Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield;United States;September 16, 2021;1987;91 min;38;2
My Heroes Were Cowboys;s46;Movie;3;Tyler Greco;;;September 16, 2021;2021;23 min;1;1
Safe House;s47;Movie;8;Daniel Espinosa;Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman;South Africa, United States, Japan;September 16, 2021;2012;115 min;39;0
The Smart Money Woman;s48;TV Show;2;Bunmi Ajakaiye;Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson;;September 16, 2021;2020;1 Season;5;0
Training Day;s49;Movie;8;Antoine Fuqua;Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes;United States;September 16, 2021;2001;122 min;40;4
Castle and Castle;s50;TV Show;2;;Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi;Nigeria;September 15, 2021;2021;2 Seasons;41;1
Dharmakshetra;s51;TV Show;5;;Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai;India;September 15, 2021;2014;1 Season;42;3
InuYasha the Movie 2: The Castle Beyond the Looking Glass;s52;Movie;4;Toshiya Shinohara;Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami;Japan;September 15, 2021;2002;99 min;43;2
InuYasha the Movie 3: Swords of an Honorable Ruler;s53;Movie;4;Toshiya Shinohara;Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue;Japan;September 15, 2021;2003;99 min;43;3
InuYasha the Movie 4: Fire on the Mystic Island;s54;Movie;5;Toshiya Shinohara;Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna;Japan;September 15, 2021;2004;88 min;43;4
InuYasha the Movie: Affections Touching Across Time;s55;Movie;5;Toshiya Shinohara;Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki;Japan;September 15, 2021;2001;100 min;43;3
Nailed It;s56;TV Show;5;;Nicole Byer, Jacques Torres;United States;September 15, 2021;2021;6 Seasons;44;2
Naruto Shippuden the Movie: Blood Prison;s57;Movie;4;Masahiko Murata;Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki;Japan;September 15, 2021;2011;102 min;43;0
Naruto Shippûden the Movie: Bonds;s58;Movie;5;Hajime Kamegaki;Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada;Japan;September 15, 2021;2008;93 min;43;5
Naruto Shippûden the Movie: The Will of Fire;s59;Movie;5;Masahiko Murata;Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura;Japan;September 15, 2021;2009;96 min;43;3
Naruto Shippuden: The Movie;s60;Movie;5;Hajime Kamegaki;Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato;Japan;September 15, 2021;2007;95 min;43;2
Naruto Shippuden: The Movie: The Lost Tower;s61;Movie;4;Masahiko Murata;Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa;Japan;September 15, 2021;2010;85 min;43;1
Naruto the Movie 2: Legend of the Stone of Gelel;s62;Movie;5;Hirotsugu Kawasaki;Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda;Japan;September 15, 2021;2005;97 min;43;3
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom;s63;Movie;5;Toshiyuki Tsuru;Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa;Japan;September 15, 2021;2006;95 min;43;1
Naruto the Movie: Ninja Clash in the Land of Snow;s64;Movie;5;Tensai Okamura;Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa;Japan;September 15, 2021;2004;83 min;43;0
Nightbooks;s65;Movie;5;David Yarovesky;Winslow Fegley, Lidya Jewett, Krysten Ritter;;September 15, 2021;2021;103 min;7;3
Numberblocks;s66;TV Show;6;;Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher;United Kingdom;September 15, 2021;2021;6 Seasons;30;3
Raja Rasoi Aur Anya Kahaniyan;s67;TV Show;9;;;India;September 15, 2021;2014;1 Season;45;0
Saved by the Bell;s68;TV Show;5;;Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins;United States;September 15, 2021;1994;9 Seasons;33;5
Schumacher;s69;Movie;4;Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech;Michael Schumacher;;September 15, 2021;2021;113 min;46;4
Stories by Rabindranath Tagore;s70;TV Show;5;;;India;September 15, 2021;2015;1 Season;41;0
Too Hot To Handle: Latino;s71;TV Show;2;;Itatí Cantoral;;September 15, 2021;2021;1 Season;47;2
A StoryBots Space Adventure;s72;Movie;6;David A. Vargas;Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux;;September 14, 2021;2021;13 min;7;2
Jack Whitehall: Travels with My Father;s73;TV Show;2;;Jack Whitehall, Michael Whitehall;United Kingdom;September 14, 2021;2021;5 Seasons;48;5
King of Boys;s74;Movie;2;Kemi Adetiba;"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja";Nigeria;September 14, 2021;2018;182 min;12;2
The World's Most Amazing Vacation Rentals;s75;TV Show;5;;;;September 14, 2021;2021;2 Seasons;44;2
You vs. Wild: Out Cold;s76;Movie;9;Ben Simms;Bear Grylls, Jason Derek Prempeh;;September 14, 2021;2021;106 min;7;3
Yowamushi Pedal;s77;TV Show;4;;Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama;Japan;September 14, 2021;2013;1 Season;49;5
Little Singham - Black Shadow;s78;Movie;7;Prakash Satam;Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey;;September 11, 2021;2021;48 min;13;0
Tughlaq Durbar;s79;Movie;4;Delhiprasad Deenadayalan;Vijay Sethupathi, Parthiban, Raashi Khanna;;September 11, 2021;2020;145 min;50;4
Tughlaq Durbar (Telugu);s80;Movie;4;Delhiprasad Deenadayalan;Vijay Sethupathi, Parthiban, Raashi Khanna;;September 11, 2021;2021;145 min;50;2
Firedrake the Silver Dragon;s81;Movie;7;Tomer Eshed;Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie;;September 10, 2021;2021;93 min;7;3
Kate;s82;Movie;8;Cedric Nicolas-Troyan;Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau;United States;September 10, 2021;2021;106 min;39;2
Lucifer;s83;TV Show;4;;Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis;United States;September 10, 2021;2021;6 Seasons;51;0
Metal Shop Masters;s84;TV Show;2;;Jo Koy;;September 10, 2021;2021;1 Season;44;0
Omo Ghetto: the Saga;s85;Movie;2;JJC Skillz, Funke Akindele;Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs;Nigeria;September 10, 2021;2020;147 min;52;1
Pokémon Master Journeys: The Series;s86;TV Show;7;;Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands;;September 10, 2021;2021;1 Season;53;1
Prey;s87;Movie;2;Thomas Sieben;David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach;;September 10, 2021;2021;87 min;54;1
Titipo Titipo;s88;TV Show;6;;Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun;;September 10, 2021;2019;2 Seasons;55;1
Blood Brothers: Malcolm X & Muhammad Ali;s89;Movie;1;Marcus Clarke;Malcolm X, Muhammad Ali;;September 9, 2021;2021;96 min;56;4
Mighty Raju;s90;TV Show;7;;Julie Tejwani, Sabina Malik, Jigna Bhardwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Rajesh Kava;;September 9, 2021;2017;4 Seasons;30;2
Paradise Hills;s91;Movie;2;Alice Waddington;Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath;Spain, United States;September 9, 2021;2019;95 min;57;4
The Women and the Murderer;s92;Movie;4;Mona Achache, Patricia Tourancheau;;France;September 9, 2021;2021;92 min;16;3
Into the Night;s93;TV Show;2;;Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat;Belgium;September 8, 2021;2021;2 Seasons;2;3
JJ+E;s94;Movie;2;Alexis Almström;Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi;;September 8, 2021;2021;91 min;58;5
Show Dogs;s95;Movie;3;Raja Gosnell;Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale;United Kingdom, United States;September 8, 2021;2018;90 min;13;4
The Circle;s96;TV Show;2;;Michelle Buteau;United States, United Kingdom;September 8, 2021;2021;3 Seasons;44;3
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd;s97;Movie;2;Stephen Kijak;Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant;United States;September 7, 2021;2018;97 min;59;5
Kid Cosmic;s98;TV Show;7;;Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver;United States;September 7, 2021;2021;2 Seasons;60;1
Octonauts: Above & Beyond;s99;TV Show;6;;Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt;United Kingdom;September 7, 2021;2021;1 Season;61;4
On the Verge;s100;TV Show;2;;Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi;France, United States;September 7, 2021;2021;1 Season;15;0
Tobot Galaxy Detectives;s101;TV Show;7;;Austin Abell, Travis Turner, Cole Howard, Anna Cummer, Jesse Inocalla, Brian Dobson, Michael Adamthwaite, Joseph Girgis, Caitlyn Bairstow;;September 7, 2021;2019;2 Seasons;30;3
Untold: Breaking Point;s102;Movie;2;Chapman Way, Maclain Way;;United States;September 7, 2021;2021;80 min;56;2
Countdown: Inspiration4 Mission to Space;s103;TV Show;4;Jason Hehir;;;September 6, 2021;2021;1 Season;62;4
Shadow Parties;s104;Movie;2;Yemi Amodu;Jide Kosoko, Omotola Jalade-Ekeinde, Yemi Blaq, Sola Sobowale, Ken Erics, Toyin Aimakhu, Segun Arinze, Jibola Dabo, Rotimi Salami, Pa Jimi Solanke, Rachael Okonkwo, Bassey Okon, Lucien Morgan, Magdalena Korpas;;September 6, 2021;2020;117 min;31;4
Tayo the Little Bus;s105;TV Show;6;;Robyn Slade, Kami Desilets;South Korea;September 6, 2021;2016;2 Seasons;55;0
Angamaly Diaries;s106;Movie;4;Lijo Jose Pellissery;Antony Varghese, Reshma Rajan, Binny Rinky Benjamin, Vineeth Vishwam, Kichu Tellus, Sreekanth Dasan, Sarath Kumar, Tito Wilson, Anandhu, Bitto Davis, Sinoj Varghese;India;September 5, 2021;2017;128 min;52;5
Bunk'd;s107;TV Show;9;;Peyton List, Karan Brar, Skai Jackson, Miranda May, Kevin G. Quinn, Nathan Arenas, Nina Lu;United States;September 5, 2021;2021;5 Seasons;33;1
A Champion Heart;s108;Movie;10;David de Vos;Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido;United States;September 4, 2021;2018;90 min;63;4
Dive Club;s109;TV Show;9;;Aubri Ibrag, Sana'a Shaik, Miah Madden, Mercy Cornwall, Georgia-May Davis, Ryan Harrison, Josh Heuston, Alexander Grant;Australia;September 3, 2021;2021;1 Season;64;3
La casa de papel;s110;TV Show;2;;Úrsula Corberó, Itziar Ituño, Álvaro Morte, Paco Tous, Enrique Arce, Pedro Alonso, María Pedraza, Alba Flores, Miguel Herrán, Jaime Lorente, Esther Acebo, Darko Peric, Kiti Mánver;Spain;September 3, 2021;2021;5 Seasons;65;5
Money Heist: From Tokyo to Berlin;s111;TV Show;2;Luis Alfaro, Javier Gómez Santander;;;September 3, 2021;2021;1 Season;66;3
Sharkdog;s112;TV Show;6;;Liam Mitchell, Dee Bradley Baker, Grey Griffin, Josh McDermitt, Kari Wahlgren, Judy Alice Lee, Ali Mawji;United States, Singapore;September 3, 2021;2021;1 Season;30;1
